,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
4676,763.0,44.0,6.0,sma,StochAstic_k,-0.280178926548744,-0.2833855074793449,5.0,207.0,427.0,20T,-0.1305139834006365
4677,669.0,471.0,36.0,ema,StochAstic_k,-0.2301917453852318,-0.2299616469777593,2.0,114.0,305.0,20T,-0.1305163186505916
4678,696.0,366.0,33.0,ema,StochAstic_d,-0.2538388387637202,-0.2577543845670748,6.0,202.0,195.0,20T,-0.130541224961048
4679,597.0,119.0,48.0,sma,StochAstic_k,-0.249160196554666,-0.2486140399312745,5.0,338.0,308.0,20T,-0.1306478514907708
4680,200.0,8.0,39.0,sma,StochAstic_k,-0.2357568202156929,-0.2366045105317781,1.0,474.0,453.0,20T,-0.1306719660489814
4681,607.0,447.0,27.0,sma,StochAstic_k,-0.2473293652929344,-0.2508659344568616,6.0,155.0,382.0,20T,-0.130719373720567
4682,153.0,148.0,13.0,wma,StochAstic_d,-0.145597740369041,-0.1475481161177148,3.0,22.0,90.0,20T,-0.130729584548173
4683,612.0,396.0,41.0,sma,StochAstic_k,-0.24145111673261,-0.2436311919896992,2.0,308.0,384.0,20T,-0.1307520685634131
4684,644.0,141.0,5.0,ema,StochAstic_d,-0.1781928109551924,-0.1792961769217407,3.0,233.0,71.0,20T,-0.1307735006330756
4685,487.0,482.0,47.0,sma,StochAstic_d,-0.255511359170846,-0.2575172261566353,6.0,236.0,246.0,20T,-0.1307871687290393
4686,525.0,248.0,15.0,wma,StochAstic_k,-0.2635932686422732,-0.2655057858274238,3.0,29.0,305.0,20T,-0.1308336410457906
4687,821.0,580.0,25.0,ema,StochAstic_k,-0.2634927531214667,-0.2657133038533364,1.0,206.0,282.0,20T,-0.1308510818530219
4688,257.0,104.0,46.0,ema,StochAstic_d,-0.2116994596652897,-0.2118533311820782,3.0,23.0,301.0,20T,-0.1308905674090291
4689,737.0,572.0,4.0,wma,StochAstic_k,-0.2819218976176252,-0.284223274998051,6.0,215.0,417.0,20T,-0.1309128146052455
